iter	Passed	Remaining
0	1	1691
1	2	1361
2	3	1197
3	4	1105
4	5	1060
5	6	1008
6	6	980
7	7	956
8	8	984
9	9	967
10	10	948
11	11	937
12	12	930
13	13	955
14	14	953
15	15	938
16	16	925
17	16	919
18	17	909
19	18	897
20	18	885
21	19	877
22	20	872
23	21	865
24	24	970
25	25	965
26	26	968
27	28	987
28	29	983
29	30	973
30	30	965
31	31	953
32	32	945
33	32	935
34	33	925
35	34	918
36	34	907
37	35	897
38	36	889
39	36	881
40	37	873
41	38	867
42	38	861
43	39	854
44	39	848
45	40	841
46	41	834
47	41	828
48	42	823
49	43	819
50	43	816
51	44	812
52	45	812
53	46	808
54	46	803
55	47	798
56	47	793
57	48	788
58	49	784
59	49	780
60	50	778
61	51	776
62	51	772
63	52	769
64	53	765
65	53	762
66	54	758
67	55	754
68	55	751
69	56	747
70	56	744
71	57	740
72	58	739
73	58	737
74	59	734
75	60	733
76	60	730
77	61	728
78	62	725
79	62	722
80	63	719
81	64	716
82	64	712
83	65	710
84	65	707
85	66	705
86	66	702
87	67	700
88	68	698
89	68	696
90	69	693
91	70	691
92	70	689
93	71	687
94	71	684
95	72	682
96	73	682
97	74	681
98	74	681
99	75	680
100	76	678
101	76	676
102	77	674
103	78	675
104	79	676
105	80	675
106	80	674
107	81	673
108	82	673
109	83	673
110	84	672
111	84	671
112	85	670
113	85	668
114	86	666
115	87	664
116	87	663
117	88	662
118	89	661
119	90	661
120	91	661
121	91	658
122	92	659
123	93	659
124	94	659
125	95	659
126	95	657
127	96	655
128	96	653
129	97	652
130	98	650
131	98	648
132	99	647
133	99	645
134	100	644
135	101	642
136	101	640
137	102	639
138	103	639
139	103	638
140	105	641
141	105	639
142	107	642
143	107	641
144	108	640
145	109	639
146	109	637
147	110	636
148	111	634
149	111	633
150	112	632
151	113	630
152	113	629
153	114	628
154	114	626
155	115	625
156	116	623
157	116	622
158	117	620
159	118	620
160	118	618
161	119	618
162	120	620
163	121	619
164	122	620
165	123	619
166	124	618
167	124	618
168	125	617
169	126	617
170	127	616
171	127	614
172	128	613
173	128	612
174	129	610
175	130	609
176	130	608
177	131	607
178	132	606
179	132	605
